K4MD.no-ip.com:23,AR-Cluster
hvldx.tzo.com:41112,CLX
cluster-us.dx-is.com:7300,DX Spider
cluster-eu.dx-is.com:7300,DX Spider
k4zr.no-ip.org:7300,DX Spider
dxc.tdxs.net:7373,AR-Cluster
dxc.k5jz.net:7373,AR-Cluster
dxc.k5tl.com:23,AR-Cluster
k6koz.serveftp.com:7300,AR-Cluster
k7ar.net:7374,AR-Cluster
k7ek.ddns.net:9000,CC Cluster
k7sdx.no-ip.org:7300,DX Spider
k8az.no-ip.com:23,AR-Cluster
cluster.dxworld.info:8000,CC Cluster
dxc.k9aj.net:23,AR-Cluster
soliton.csl.illinois.edu:8000,DX Spider
k9wms.com:7374,AR-Cluster
k9wms.com:7373,AR-Cluster
dxcluster.servebeer.com:2323,AR-Cluster
dx.ka2pbt.com:7300,DX Spider
96.27.205.110:7373,AR-Cluster
kb2faf.net:7300,DX Spider
kb2sse.dyndns.org:7300,DX Spider
dx.scarcnj.org:7300,DX Spider
kb5vjy.com:8000,DX Spider
www.kb8pmy.net:7300,DX Spider
radio-linux.isti.cnr.it:23,DX Spider
kc0avq.dyndns.org:23,AR-Cluster
dxspider.kc2cwt.net:7300,DX Spider
kc3ol.dynip.com:23,AR-Cluster
kc5nyo.dns2go.com:23,AR-Cluster
dxspots.kc9aop.net:7300,DX Spider
kc9gwk.squaretfarm.com:7300,DX Spider
kd4gca.dyndns.org:7300,DX Spider
kd8atf.ddns.net:7300,DX Spider
ke0cqf.120v.ac:7300,DX Spider
ke2oi.dyndns.org:7300,DX Spider
themaincomputer.net:7300,DX Spider
KF4LLF.no-IP.org:2300,CC Cluster
dxfinder.bfielding.com:7300,DX Spider
98.181.43.23:7300,CC Cluster
hobbyshack.no-ip.org:7300,CC Cluster
kn2m.d2g.com:23,CC Cluster
dxc.kn4f.net:23,AR-Cluster
kn9n.no-ip.org:7300,DX Spider
136.145.86.189:23,AR-Cluster
dxc.kp4jrs.com:23,AR-Cluster
kq8m.no-ip.org:7373,AR-Cluster
kq8m.no-ip.org:7374,AR-Cluster
kq8m.no-ip.org:3608,AR-Cluster
kq8m.no-ip.org:23,AR-Cluster
spots.qsoparty.com:7300,DX Spider
dx.ultradx.com:23,AR-Cluster
dxc.ky4xx.com:7300,DX Spider
dxc.ky9j.com:7300,DX Spider
193.75.61.192:7300,DX Spider
la3r-6.shacknet.nu:9000,DX Spider
la3waa.ddns.net:8000,CC Cluster
la7q.ddns.net:9000,CC Cluster
lu9da.no-ip.org:9000,DX Spider
dxcluster.dynu.net:9000,DX Spider
packet.com.ar:9000,DxNet
nakz.ddns.net:8000,DX Spider
lz0dxc.tabakov.net:7300,DX Spider
cluster.lz1kaa.com:7300,CC Cluster
dx.m0kgx.com:7300,DX Spider
dx.m0nzo.uk:7300,DX Spider
mb6wv.ddns.net:7373,DX Spider
dx.onlineradioclub.org:7300,DX Spider
n0cda.homedns.org:7300,DX Spider
cluster.dxcentral.com:23,DX Spider
dx.n1ta.com:23,AR-Cluster
n1uan.org:7300,DX Spider
n2fjdx.no-ip.org:23,AR-Cluster
dxc.n2ki.com:7300,DX Spider
n2uga.org:7300,DX Spider
dxc.n2wls.com:7300,DX Spider
n3bsq.no-ip.com:7300,DX Spider
n3kda.ham-radio-op.net:23,AR-Cluster
n3meq.dyndns.ws:8000,DX Spider
home.n3tuq.com:2323,CC Cluster
N3UA.HOPTO.ORG:7373,AR-Cluster
dxc.n4den.us:7373,CC Cluster
n4dw.ddns.net:7300,DX Spider
n4lem.net:7300,AR-Cluster
dx.harwood.com:8000,DX Spider
dxc.n4zkf.com:23,AR-Cluster
dxc.n4zkf.com:7373,CC Cluster
dxc.n5uxt.org:23,AR-Cluster
n6ws.ddns.net:7302,DX Spider
n6ws.ddns.net:7300,DX Spider
n7od.pentux.net:23,AR-Cluster
dxc.n7tr.com:7300,AR-Cluster
dxc.n7tr.com:7373,AR-Cluster
n7xg.ddns.net:7300,CC Cluster
n8dxe.dxengineering.com:23,AR-Cluster
n8dxe.dxengineering.com:7373,AR-Cluster
76.236.93.115:7300,DX Spider
n8nm.servebeer.com:23,DX Spider
dx.n8noe.us:23,AR-Cluster
dxc.n8usk.com:7373,DX Spider
n8yib.dyndns.org:23,AR-Cluster
n9ai.no-ip.org:7373,AR-Cluster
dxc.n9bc.com:7300,DX Spider
dx.n9jr.com:7300,DX Spider
n9kt.hamshack.info:8000,DX Spider
uronode.n9lya.ampr.org:7300,DX Spider
N9PMO.NO-IP.ORG:7373,AR-Cluster
n9vi-bbs.from-in.com:7323,AR-Cluster
n9vi-bbs.from-in.com:7373,AR-Cluster
na7kr.na7kr.us:9000,DX Spider
dxc.nc7j.com:23,AR-Cluster
dxc.nc7j.com:7373,AR-Cluster
dxc.nc7j.com:7300,CW Skimmer
dxc.nc7j.com:7200,OTHER
dxc.ng9r.com:23,CC Cluster
nk7z-cluster.ddns.net:7373,AR-Cluster
nl7s.net:8000,DX Spider
k1rfi.com:7300,DX Spider
